Channel index,Channel reference energy (keV),Channel synthetic energy (keV),Simulated intensity,Detected intensity,E_Net peak 0,P_B (continuum),P_B_pm_avg (continuum)
94,1.83594,1.83594,15,307.286,0,0.332521,0.0927734
95,1.85547,1.85547,11,305.017,0,0.337229,0.09375
96,1.875,1.875,12,303.061,0,0.341903,0.0947266
97,1.89453,1.89453,10,300.765,0,0.346541,0.0957031
98,1.91406,1.91406,9,298.452,0,0.351144,0.0966797
99,1.93359,1.93359,11,296.123,0,0.355711,0.0976563
100,1.95313,1.95313,6,293.78,0,0.360242,0.0986328
101,1.97266,1.97266,6,291.427,0,0.364737,0.0996094
102,1.99219,1.99219,19,289.068,0,0.369195,0.100586
103,2.01172,2.01172,9,286.712,0,0.373616,0.101563
104,2.03125,2.03125,14,284.363,0,0.378002,0.102539
105,2.05078,2.05078,10,282.021,0,0.382351,0.103516
106,2.07031,2.07031,7,279.683,0,0.386665,0.104492
107,2.08984,2.08984,14,277.343,0,0.390943,0.105469
108,2.10938,2.10938,7,274.996,0,0.395186,0.106445
109,2.12891,2.12891,7,272.641,0,0.399391,0.107422
110,2.14844,2.14844,14,270.276,0,0.403561,0.108398
111,2.16797,2.16797,9,267.902,0,0.407694,0.109375
112,2.1875,2.1875,8,265.519,0,0.411791,0.110352
113,2.20703,2.20703,11,263.128,0,0.41585,0.111328
114,2.22656,2.22656,16,260.73,0,0.419873,0.112305
115,2.24609,2.24609,8,258.326,0,0.423859,0.113281
116,2.26563,2.26563,6,255.922,0,0.427808,0.114258
117,2.28516,2.28516,18,253.53,0,0.431719,0.115234
118,2.30469,2.30469,9,251.169,0,0.435594,0.116211
119,2.32422,2.32422,8,248.859,0,0.43943,0.117188
120,2.34375,2.34375,5,246.616,0,0.443233,0.118164
121,2.36328,2.36328,9,244.44,0,0.447003,0.119141
122,2.38281,2.38281,15,242.315,0,0.450743,0.120117
123,2.40234,2.40234,6,240.222,0,0.45445,0.121094
124,2.42188,2.42188,6,238.141,0,0.458126,0.12207
125,2.44141,2.44141,4,236.063,0,0.461769,0.123047
126,2.46094,2.46094,10,233.983,0,0.465381,0.124023
127,2.48047,2.48047,6,231.898,0,0.468961,0.125
128,2.5,2.5,10,229.81,0,0.472509,0.125977
129,2.51953,2.51953,10,227.717,0,0.476024,0.126953
130,2.53906,2.53906,11,225.621,0,0.479508,0.12793
131,2.55859,2.55859,9,223.525,0,0.482959,0.128906
132,2.57813,2.57813,4,221.431,0,0.486378,0.129883
133,2.59766,2.59766,6,219.352,0,0.489765,0.130859
134,2.61719,2.61719,8,217.301,0,0.493119,0.131836
135,2.63672,2.63672,3,215.296,0,0.49644,0.132813
136,2.65625,2.65625,10,213.348,0,0.499732,0.133789
137,2.67578,2.67578,5,211.457,0,0.502996,0.134766
138,2.69531,2.69531,8,209.81,0,0.506233,0.135742
139,2.71484,2.71484,8,207.995,0,0.509443,0.136719
140,2.73438,2.73438,8,206.195,0,0.512625,0.137695
141,2.75391,2.75391,10,204.399,0,0.515779,0.138672
142,2.77344,2.77344,1,202.603,0,0.518906,0.139648
143,2.79297,2.79297,3,200.806,0,0.522005,0.140625
144,2.8125,2.8125,10,199.007,0,0.525077,0.141602
145,2.83203,2.83203,8,197.205,0,0.528121,0.142578
146,2.85156,2.85156,5,195.403,0,0.531137,0.143555
147,2.87109,2.87109,9,193.602,0,0.534125,0.144531
148,2.89063,2.89063,6,191.808,0,0.537086,0.145508
149,2.91016,2.91016,13,190.03,0,0.540019,0.146484
150,2.92969,2.92969,6,188.284,0,0.542924,0.147461
151,2.94922,2.94922,5,186.583,0,0.545801,0.148438
152,2.96875,2.96875,2,185.139,0,0.548653,0.149414
153,2.98828,2.98828,4,183.554,0,0.551483,0.150391
154,3.00781,3.00781,8,182.015,0,0.554289,0.151367
155,3.02734,3.02734,4,180.506,0,0.557073,0.152344
156,3.04688,3.04688,7,179.014,0,0.559834,0.15332
157,3.06641,3.06641,5,177.529,0,0.562572,0.154297
158,3.08594,3.08594,9,176.045,0,0.565288,0.155273
159,3.10547,3.10547,9,174.562,0,0.56798,0.15625
160,3.125,3.125,10,173.077,0,0.57065,0.157227
161,3.14453,3.14453,3,171.592,0,0.573297,0.158203
162,3.16406,3.16406,10,170.106,0,0.575921,0.15918
163,3.18359,3.18359,6,168.623,0,0.578523,0.160156
164,3.20313,3.20313,1,167.146,0,0.581101,0.161133
165,3.22266,3.22266,4,165.685,0,0.583656,0.162109
166,3.24219,3.24219,6,164.25,0,0.586189,0.163086
167,3.26172,3.26172,7,162.853,0,0.588698,0.164063
168,3.28125,3.28125,8,161.502,0,0.591187,0.165039
169,3.30078,3.30078,7,160.197,0,0.593657,0.166016
170,3.32031,3.32031,4,158.931,0,0.596109,0.166992
171,3.33984,3.33984,7,157.69,0,0.598541,0.167969
172,3.35938,3.35938,8,156.464,0,0.600956,0.168945
