Trajectory index, Trajectory type, X (A), Y (A), Z (A), E (keV), indexRegion, collisionType
73, 3, 1.62419e-008, 1.01136e-008, 50, 9.9505, 0, 2
73, 3, 1.62419e-008, 1.01136e-008, 51, 9.9505, 0, 3
74, 3, 1.15935e-008, 7.08069e-011, 0, 10, 0, 1
74, 3, 1.15935e-008, 7.08069e-011, 11.0682, 9.98904, 0, 5
74, 3, 0.681696, 3.60456, 31.195, 9.96877, 0, 5
74, 3, 7.34032, 9.19051, 50, 9.94821, 0, 2
74, 3, 7.66174, 9.46015, 50.9077, 9.94821, 0, 3
75, 3, -3.79477e-009, 4.83952e-008, 0, 10, 0, 1
75, 3, -3.79477e-009, 4.83952e-008, 50, 9.9505, 0, 2
75, 3, -3.79477e-009, 4.83952e-008, 51, 9.9505, 0, 3
76, 3, -1.92037e-008, -2.47865e-008, 0, 10, 0, 1
76, 3, -1.92037e-008, -2.47865e-008, 19.7735, 9.98042, 0, 5
76, 3, -0.319206, 2.04239, 38.5698, 9.96167, 0, 5
76, 3, -0.0491131, 2.90484, 47.736, 9.95253, 0, 5
76, 3, -0.0606545, 2.90613, 50, 9.95028, 0, 2
76, 3, -0.0657522, 2.9067, 51, 9.95028, 0, 3
77, 3, 3.03652e-009, -4.81731e-008, 0, 10, 0, 1
77, 3, 3.03652e-009, -4.81731e-008, 20.7507, 9.97946, 0, 5
77, 3, 3.57288, -2.36503, 50, 9.95014, 0, 2
77, 3, 3.69374, -2.44503, 50.9894, 9.95014, 0, 3
78, 3, 2.9777e-008, -1.00236e-008, 0, 10, 0, 1
78, 3, 2.9777e-008, -1.00236e-008, 3.95554, 9.99608, 0, 5
78, 3, -0.620008, 0.0759309, 13.3072, 9.9868, 0, 5
78, 3, -3.27338, 0.626249, 40.2549, 9.95996, 0, 5
78, 3, -4.93582, 0.46243, 50, 9.95014, 0, 2
78, 3, -5.10396, 0.445861, 50.9856, 9.95014, 0, 3
79, 3, -5.89186e-008, 2.80768e-008, 0, 10, 0, 1
79, 3, -5.89186e-008, 2.80768e-008, 14.6861, 9.98546, 0, 5
79, 3, 0.611577, -3.20175, 37.3492, 9.96277, 0, 5
